"","F_SCORE_adj","F_SCORE","F_ROA_chg_ind_adj","F_CFO_ind_adj","F_ACCRUAL_ind_adj","F_MARGIN_chg_ind_adj","F_TURN_chg_ind_adj","F_LEVER_chg_ind_adj","F_LIQUID_chg_ind_adj","F_EQUITY_ind_adj","gvkey","datadate","fyear","datadate.1","tic","cusip","bm_ratio","market_cap","quintile","cap_group"
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",0,NA,0,0,0,0,0,0,0,0,1004,20100531,2009,20100531,"AIR","000361105",0.960238578680203,777.8348,4,15
"308",0,NA,0,0,0,0,0,0,0,0,1562,20100430,2009,20100430,"AMSWA","029683109",0.445790297339593,162.13986,3,10
"725",0,NA,0,0,0,0,0,0,0,0,2269,20100430,2009,20100430,"HRB","093671105",0.243358820316767,5919.73286,2,19
"857",0,NA,0,0,0,0,0,0,0,0,2484,20100131,2009,20100131,"0015B","121579932",NA,NA,NA,NA
"907",0,NA,0,0,0,0,0,0,0,0,2556,20100331,2009,20100331,"CSS","125906107",1.19824875621891,194.4876,5,11
"1041",0,NA,0,0,0,0,0,0,0,0,2807,20100430,2009,20100430,"CASY","147528103",0.41901630856847,1967.27138,3,17
"1286",0,NA,0,0,0,0,0,0,0,0,3218,20100131,2009,20100131,"CMRO","200080109",0.487283018867925,19.41655,3,4
"1605",0,NA,0,0,0,0,0,0,0,0,3813,20100131,2009,20100131,"TGT","87612E106",0.401985566608153,38177.89788,2,20
"1856",0,NA,0,0,0,0,0,0,0,0,4225,20100228,2009,20100228,"EDUC","281479105",0.650426229508197,23.7107,3,5
"2095",0,NA,0,0,0,0,0,0,0,0,4611,20100131,2009,20100131,"M","55616P104",0.701217827997489,6704.02899,4,19
"2287",0,NA,0,0,0,0,0,0,0,0,4925,20100331,2009,20100331,"FUJIY","35958N107",1.11029569658454,16837.782444,5,20
"2401",0,NA,0,0,0,0,0,0,0,0,5142,20100430,2009,20100430,"GRB","373730100",0.874652777777778,180.8784,4,10
"2766",0,NA,0,0,0,0,0,0,0,0,5770,20100131,2009,20100131,"HBAYF","444218101",NA,NA,NA,NA
"3248",0,NA,0,0,0,0,0,0,0,0,6543,20100430,2009,20100430,"LZB","505336107",0.506756134969325,675.0808,3,15
"3508",0,NA,0,0,0,0,0,0,0,0,7107,20100228,2009,20100228,"MASC","576674105",2.54293193717278,24.64855,5,5
"3763",0,NA,0,0,0,0,0,0,0,0,7469,20100331,2009,20100331,"3ZARLF","989139100",0.349893792777909,204.9131836,2,11
"4187",0,NA,0,0,0,0,0,0,0,0,8087,20100331,2009,20100331,"ITI","46564T107",0.846,68.636,4,8
"4397",0,NA,0,0,0,0,0,0,0,0,8402,20100531,2009,20100531,"PAYX","704326107",0.135900490539594,10316.15402,1,19
"4673",0,NA,0,0,0,0,0,0,0,0,8858,20100331,2009,20100331,"QSII","747582104",0.1061181640625,1774.32576,1,17
"5076",0,NA,0,0,0,0,0,0,0,0,9799,20100228,2009,20100228,"SODI","834256208",1.44597609561753,5.68264,5,2
"5292",0,NA,0,0,0,0,0,0,0,0,10200,20100331,2009,20100331,"SUPX","868532102",0.544552559593591,331.23696,3,13
"5373",0,NA,0,0,0,0,0,0,0,0,10353,20100531,2009,20100531,"TISI","878155100",0.57844414893617,285.57952,3,12
"5577",0,NA,0,0,0,0,0,0,0,0,10622,20100331,2009,20100331,"TOSYY","891493306",0.391655650491698,21893.705605,2,20
"5847",0,NA,0,0,0,0,0,0,0,0,11027,20100331,2009,20100331,"UUU","913821302",1.71051482059282,15.30708,5,4
"6102",0,NA,0,0,0,0,0,0,0,0,11499,20100430,2009,20100430,"JW.A","968223206",0.284769339957417,2536.91859,2,17
"6496",0,NA,0,0,0,0,0,0,0,0,12123,20100131,2009,20100131,"BIG","089302103",0.430271031326998,2327.40402,3,17
"6703",0,NA,0,0,0,0,0,0,0,0,12421,20100131,2009,20100131,"TWMC","89336Q100",4.73746153846154,40.8135,5,6
"7040",0,NA,0,0,0,0,0,0,0,0,12815,20100331,2009,20100331,"RENT","760174102",0.224366589327146,228.32225,2,11
"7222",0,NA,0,0,0,0,0,0,0,0,13011,20100331,2009,20100331,"NWK","641208103",0.362885662431942,165.6306,2,10
"7367",0,NA,0,0,0,0,0,0,0,0,13328,20100131,2009,20100131,"CHHP","124661208",0.802567567567568,38.92844,4,6
"7686",0,NA,0,0,0,0,0,0,0,0,13782,20100331,2009,20100331,"LABL","625383104",0.990158597662771,148.08478,4,10
"8689",0,NA,0,0,0,0,0,0,0,0,14868,20100331,2009,20100331,"FWM","30603D109",NA,NA,NA,NA
"8799",0,NA,0,0,0,0,0,0,0,0,15000,20100331,2009,20100331,"ADWPF","03444Q100",0.936515337423313,121.3698,4,9
"9127",0,NA,0,0,0,0,0,0,0,0,15337,20100228,2009,20100228,"EMMS","291525103",-5.62333333333333,33.8337,1,6
"9308",0,NA,0,0,0,0,0,0,0,0,15462,20100228,2009,20100228,"OIB","46133A100",NA,113.288,NA,9
"NA.440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11613",0,NA,0,0,0,0,0,0,0,0,18466,20100331,2009,20100331,"FUJHY","359556206",1.00988841268003,4034.908806,4,18
"11894",0,NA,0,0,0,0,0,0,0,0,18689,20100131,2009,20100131,"VEEV","922475108",NA,NA,NA,NA
"12286",0,NA,0,0,0,0,0,0,0,0,19113,20100331,2009,20100331,"NSANY","654744408",0.829915427238262,34958.07207,4,20
"12729",0,NA,0,0,0,0,0,0,0,0,19661,20100331,2009,20100331,"TM","892331307",0.879614523750311,126098.39916,4,20
"13632",0,NA,0,0,0,0,0,0,0,0,20601,20100331,2009,20100331,"MTLRF","591307103",1.0631,12.425,5,3
"14099",0,NA,0,0,0,0,0,0,0,0,21116,20100331,2009,20100331,"ADMT","001004100",1.824,0.67425,5,1
"NA.1710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15054",0,NA,0,0,0,0,0,0,0,0,22797,20100331,2009,20100331,"MOC","20050L100",0.586958174904943,28.59336,3,5
"15221",0,NA,0,0,0,0,0,0,0,0,23223,20100430,2009,20100430,"PFRMF","694915208",0.162802170695609,26.4134316,1,5
"15569",0,NA,0,0,0,0,0,0,0,0,24171,20100131,2009,20100131,"DSW","23334L102",0.50786231884058,405.36396,3,13
"15669",0,NA,0,0,0,0,0,0,0,0,24350,20100331,2009,20100331,"MNRO","610236101",0.325838926174497,713.91264,2,15
"15887",0,NA,0,0,0,0,0,0,0,0,24725,20100331,2009,20100331,"WRLD","981419104",0.642408536585366,596.11376,3,15
"16211",0,NA,0,0,0,0,0,0,0,0,25108,20100228,2009,20100228,"CBK","171046105",0.776628242074928,249.45136,4,12
"16503",0,NA,0,0,0,0,0,0,0,0,25416,20100331,2009,20100331,"NXN","67063V104",NA,53.9718,NA,7
"17079",0,NA,0,0,0,0,0,0,0,0,26246,20100331,2009,20100331,"VSCI","927912105",0.172903225806452,34.27608,1,6
"17245",0,NA,0,0,0,0,0,0,0,0,27637,20100331,2009,20100331,"CEO.H","18972D107",0.03525,9.2532,1,3
"17477",0,NA,0,0,0,0,0,0,0,0,27971,20100228,2009,20100228,"LBIX","52170U207",NA,NA,NA,NA
"17557",0,NA,0,0,0,0,0,0,0,0,28111,20100331,2009,20100331,"WZI.H","97651K103",1.451,6.7508,5,2
"17712",0,NA,0,0,0,0,0,0,0,0,28302,20100531,2009,20100531,"NOM","67060Q108",NA,38.1315,NA,6
"17787",0,NA,0,0,0,0,0,0,0,0,28378,20100331,2009,20100331,"LGF","535919203",0.0732692307692308,736.02048,1,15
"18288",0,NA,0,0,0,0,0,0,0,0,29061,20100331,2009,20100331,"RVSB","769397100",3.34060869565217,25.1252,5,5
"NA.1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18706",0,NA,0,0,0,0,0,0,0,0,29698,20100430,2009,20100430,"SGMA","82661L101",2.03409906676238,23.4319316,5,5
"18877",0,NA,0,0,0,0,0,0,0,0,29912,20100131,2009,20100131,"RCS","72200X104",NA,413.34106,NA,13
"19030",0,NA,0,0,0,0,0,0,0,0,30161,20100331,2009,20100331,"PSSI","69366A100",0.303577201190983,1344.01968,2,16
"19582",0,NA,0,0,0,0,0,0,0,0,31214,20100131,2009,20100131,"MIND","606501104",1.17004054054054,72.6088,5,8
"19845",0,NA,0,0,0,0,0,0,0,0,31720,20100131,2009,20100131,"6027B","83099Z910",0.27214358974359,922.896,2,16
"20040",0,NA,0,0,0,0,0,0,0,0,61030,20100331,2009,20100331,"DSWL","250639101",1.77947619047619,68.0064,5,8
"20296",0,NA,0,0,0,0,0,0,0,0,61472,20100331,2009,20100331,"WCAP","973859101",NA,0.021384,NA,1
"20800",0,NA,0,0,0,0,0,0,0,0,62340,20100228,2009,20100228,"QNIIF","74766M100",0.1925,1.5212,1,1
"20974",0,NA,0,0,0,0,0,0,0,0,62667,20100131,2009,20100131,"PSS","19421W100",0.58229674796748,1262.59008,3,16
"21170",0,NA,0,0,0,0,0,0,0,0,63059,20100228,2009,20100228,"TRLID","897887204",-0.026,3.1074,1,1
"21864",0,NA,0,0,0,0,0,0,0,0,64091,20100331,2009,20100331,"IDGBF","45567S108",0.585369127516779,442.40484,3,14
"22091",0,NA,0,0,0,0,0,0,0,0,64492,20100331,2009,20100331,"CMDXF","205249105",0.0989797101449275,307.5675,1,12
"22277",0,NA,0,0,0,0,0,0,0,0,64695,20100531,2009,20100531,"ANXGF","03240P108",0.425090909090909,28.3701,3,5
"22387",0,NA,0,0,0,0,0,0,0,0,64853,20100331,2009,20100331,"QRVO","74736K101",0.395542168674699,1340.14788,2,16
"22540",0,NA,0,0,0,0,0,0,0,0,65075,20100531,2009,20100531,"NWDMF","643763204",0.326923076923077,5.0063,2,2
"23170",0,NA,0,0,0,0,0,0,0,0,65883,20100430,2009,20100430,"CDN.","136821105",1.13142857142857,6.91355,5,2
"23545",0,NA,0,0,0,0,0,0,0,0,66399,20100531,2009,20100531,"CYE","09255M104",NA,237.70292,NA,11
"23870",0,NA,0,0,0,0,0,0,0,0,100760,20100131,2009,20100131,"KGFHY","495724403",0.985185185185185,8035.524,4,19
"23995",0,NA,0,0,0,0,0,0,0,0,103342,20100331,2009,20100331,"SSEZY","78467K107",0.307801928028262,15416.6931,2,20
"24434",0,NA,0,0,0,0,0,0,0,0,106041,20100531,2009,20100531,"CTPMF","211906300",1.34039215686275,26.32518,5,5
"24536",0,NA,0,0,0,0,0,0,0,0,106254,20100331,2009,20100331,"ELDO","28468C208",0.425,2.6144,3,1
"24809",0,NA,0,0,0,0,0,0,0,0,106837,20100531,2009,20100531,"RCTFF","77174P300",1.2048275862069,19.7867,5,4
"24918",0,NA,0,0,0,0,0,0,0,0,107061,20100131,2009,20100131,"JNRRF","465927101",1.30461538461538,25.32322,5,5
"25059",0,NA,0,0,0,0,0,0,0,0,107399,20100430,2009,20100430,"ENAFF","292483203",0.248153846153846,212.66375,2,11
"25331",0,NA,0,0,0,0,0,0,0,0,108015,20100331,2009,20100331,"RHWKF","75746K106",0.297142857142857,43.18769,2,7
"NA.2310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25801",0,NA,0,0,0,0,0,0,0,0,109921,20100331,2009,20100331,"DHF","26200S101",NA,310.25358,NA,12
"26257",0,NA,0,0,0,0,0,0,0,0,112820,20100430,2009,20100430,"TCYSF","878950104",0.660761904761905,25.6725,4,5
