"","F_SCORE_adj","F_SCORE","F_ROA_chg_ind_adj","F_CFO_ind_adj","F_ACCRUAL_ind_adj","F_MARGIN_chg_ind_adj","F_TURN_chg_ind_adj","F_LEVER_chg_ind_adj","F_LIQUID_chg_ind_adj","F_EQUITY_ind_adj","gvkey","datadate","fyear","datadate.1","tic","cusip","bm_ratio","market_cap","quintile","cap_group"
"NA.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12196",0,NA,0,0,0,0,0,0,0,0,19001,20141231,2014,20141231,"FDIS","316092204",NA,229.377,NA,8
"12362",3,NA,0,0,0,1,0,1,0,0,19172,20140630,2014,20140630,"AMRK","00181T107",0.636442652329749,77.70708,4,5
"12381",6,6,1,1,1,0,1,1,1,0,19190,20140630,2014,20140630,"SNOW","46090K109",0.661047120418848,515.99796,4,11
"12411",0,NA,0,0,0,0,0,0,0,0,19269,20141231,2014,20141231,"FYLD","132061300",NA,60.48,NA,5
"12449",0,NA,0,0,0,0,0,0,0,0,19315,20140930,2014,20140930,"MYR.","59047T107",1.44285714285714,1.19882,5,1
"12481",6,NA,1,1,0,1,1,1,0,0,19355,20141231,2014,20141231,"SFNC","828730200",0.673630996309963,733.8138,4,12
"12509",5,5,0,1,1,1,0,1,0,1,19391,20140630,2014,20140630,"MBUU","56117J100",0.0866467661691542,222.3864,1,8
"12541",3,3,0,0,1,0,0,1,1,0,19425,20141231,2014,20141231,"GNCA","372427104",0.260128571428571,124.964,2,6
"NA.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12678",5,NA,0,1,1,1,0,0,1,0,19580,20141231,2014,20141231,"TIME","887228104",1.06978464039009,2683.7205,5,16
"12703",5,5,0,0,1,1,1,1,1,0,19622,20140630,2014,20140630,"XDSL","62472C102",-0.375,11.0804496,1,2
"12756",7,NA,1,1,1,1,1,1,0,0,19713,20141231,2014,20141231,"UBSH","90539J109",0.899310631229236,1087.52504,5,13
"12791",3,NA,0,0,0,0,1,1,0,0,19752,20140630,2014,20140630,"CMFN","12574Q103",1.00616071428571,198.99152,5,8
"12810",7,NA,1,1,1,0,1,1,1,0,19770,20141231,2014,20141231,"AM","03673L103",0.321410909090909,4176.755,2,17
"12866",5,5,0,1,1,1,0,1,1,0,19830,20141231,2014,20141231,"BRDR","09970L100",0.406729910714286,286.25408,3,9
"12896",1,NA,1,0,0,0,0,0,0,0,19851,20141231,2014,20141231,"CIO","178587101",NA,157.1712,NA,7
"12919",5,5,0,1,1,0,0,1,1,0,19876,20141231,2014,20141231,"KING","G5258J109",0.19591796875,4945.29024,2,17
"13026",5,5,0,0,1,1,1,1,1,0,19988,20141231,2014,20141231,"MDWD","M68830104",0.298708708708709,143.523,2,7
"13143",5,5,1,0,0,1,1,1,1,0,20090,20141231,2014,20141231,"TUBE","898570106",NA,672.8469,NA,12
"13169",6,6,0,1,1,0,1,1,1,0,20116,20141231,2014,20141231,"PAYC","70432V102",0.0523053551082416,1417.42289,1,14
"13252",6,6,1,1,1,0,0,1,0,1,20204,20141231,2014,20141231,"ICON","451055107",0.568771825984019,1620.33187,4,14
"13335",3,NA,1,0,0,1,0,0,0,0,20285,20141031,2014,20141031,"CBWBF","13677F101",0.516996026490066,3033.92975,3,16
"13376",4,4,0,1,1,0,0,1,0,0,20315,20140831,2014,20140831,"CGECF","19238T100",0.533828671328671,962.7904,3,13
"13580",5,NA,0,1,1,0,0,1,1,0,20534,20141231,2014,20141231,"VNOM","92763M105",0.370452289023718,1445.12417,3,14
"13606",8,8,1,1,1,1,1,1,1,0,20561,20141231,2014,20141231,"LIMAF","53278L107",NA,4617.5679,NA,17
"13683",4,4,0,1,1,1,0,0,1,0,20650,20141231,2014,20141231,"NWLTF","65020P103",0.529098639455782,988.29864,3,13
"13805",2,NA,1,0,0,0,0,0,1,0,20742,20141231,2014,20141231,"ZFGN","98885E103",NA,705.58836,NA,12
"13912",2,NA,0,0,0,0,0,1,1,0,20898,20141231,2014,20141231,"CAPN","14066L105",NA,10.0966404,NA,2
"13980",0,NA,0,0,0,0,0,0,0,0,20998,20141031,2014,20141031,"SLYQF","83160L105",0.259358974358974,82.22994,2,5
"14003",6,NA,0,1,1,1,1,1,0,0,21010,20141231,2014,20141231,"RIGP","Y8977Y100",NA,1008.28292,NA,13
"14081",3,NA,0,0,0,0,1,1,0,0,21079,20141231,2014,20141231,"SNC","85711T305",NA,530.07906,NA,11
"14268",0,NA,0,0,0,0,0,0,0,0,21433,20140630,2014,20140630,"ZAYO","98919V105",NA,NA,NA,NA
"14289",4,4,0,1,1,1,0,0,0,0,21487,20141231,2014,20141231,"BEAV","073302101",0.00164253705618752,6147.85722,1,18
"14333",4,4,0,1,1,0,0,1,1,0,21540,20141231,2014,20141231,"W","94419L101",NA,1651.1627,NA,14
"14461",5,NA,1,0,0,0,1,1,1,0,21777,20141231,2014,20141231,"MMSI","589889104",NA,749.33187,NA,12
"14592",3,NA,1,0,0,1,0,0,1,0,21916,20141231,2014,20141231,"NVRO","64157F103",NA,961.52955,NA,13
"14668",6,NA,1,1,1,1,1,1,0,0,22025,20141231,2014,20141231,"SNR","648691103",0.59361094224924,1092.52675,4,13
"14689",4,4,0,1,1,1,1,0,0,0,22053,20141231,2014,20141231,"MCF","21075N204",1.01353625170999,559.88752,5,11
"14759",6,6,1,0,1,1,1,1,1,0,22164,20141231,2014,20141231,"MOMO","60879B107",NA,2266.536,NA,15
"14806",3,NA,0,0,1,0,0,1,1,0,22230,20141231,2014,20141231,"JUNO","48205A109",0.0906530065109154,4285.90428,1,17
"14990",7,NA,0,1,1,1,0,1,1,1,22675,20140630,2014,20140630,"HLG","40699A935",NA,NA,NA,NA
"15068",4,4,0,1,1,0,0,1,0,0,22817,20140930,2014,20140930,"FHCO","314462102",0.27945558739255,100.42475,2,6
"15135",0,NA,0,0,0,0,0,0,0,0,23035,20141231,2014,20141231,"MXPT","57777M102",NA,NA,NA,NA
"15194",3,NA,0,1,1,0,0,1,0,0,23145,20141231,2014,20141231,"EASI","27033P108",NA,NA,NA,NA
"15229",8,8,1,1,1,0,1,1,1,1,23224,20140930,2014,20140930,"ESE","296315104",0.636515238642898,911.47946,4,13
"15241",3,NA,0,0,1,1,0,1,0,0,23241,20141231,2014,20141231,"OPGN","68399K937",NA,NA,NA,NA
"15256",5,NA,0,1,1,1,0,1,0,0,23249,20140630,2014,20140630,"LITE","55099E931",NA,NA,NA,NA
"15276",3,NA,0,0,0,1,0,1,1,0,23291,20141231,2014,20141231,"BIOL","090911108",NA,NA,NA,NA
"15284",5,NA,0,1,1,1,0,1,1,0,23335,20141231,2014,20141231,"ADRO","00799K936",NA,NA,NA,NA
"15302",6,NA,0,1,1,1,0,1,1,0,23370,20140630,2014,20140630,"TYHT","82499U935",NA,NA,NA,NA
"15333",5,NA,1,1,1,1,0,0,0,0,23500,20141231,2014,20141231,"CATY","149150104",0.784779210629152,2042.46585,4,15
"15375",0,NA,0,0,0,0,0,0,0,0,23593,20141130,2014,20141130,"PFD","338480106",NA,162.53712,NA,7
"15412",8,8,1,1,1,1,1,1,0,1,23697,20140831,2014,20140831,"SONC","835451105",0.0551823780198958,1135.80244,1,13
"15440",1,NA,0,0,0,0,1,0,0,0,23768,20141231,2014,20141231,"PICO","693366205",0.981177718832891,433.64425,5,10
"15464",5,5,1,1,1,0,1,0,1,0,23810,20141231,2014,20141231,"IO","462044108",0.299818181818182,452.331,2,10
"15499",7,7,1,1,1,1,1,1,0,0,23978,20141231,2014,20141231,"X","912909108",0.975400149588631,3894.8147,5,17
"15557",6,6,0,1,1,0,1,0,1,1,24113,20141231,2014,20141231,"PNRA","69840W108",0.157008009153318,4688.8352,1,17
"15584",5,5,0,1,1,1,0,0,0,1,24197,20141231,2014,20141231,"IDXX","45168D104",0.0167309637822891,7023.99471,1,18
"15619",2,NA,1,0,0,1,0,0,0,0,24234,20150131,2014,20150131,"EVLV","300487105",NA,353.93523,NA,10
"15644",6,6,0,1,1,0,1,1,0,1,24293,20141231,2014,20141231,"KALU","483007704",0.807764244715106,1257.66801,4,14
"15668",2,2,0,0,1,0,0,0,1,0,24344,20141231,2014,20141231,"VRTX","92532F100",0.0374284511784512,28721.5632,1,20
"15704",6,6,1,1,1,1,1,1,0,0,24396,20141231,2014,20141231,"HWAY","422245100",NA,705.95868,NA,12
"15832",4,4,0,1,1,0,0,0,1,0,24625,20141231,2014,20141231,"TOT","89151E109",NA,116526.3872,NA,20
"15940",0,NA,0,0,0,0,0,0,0,0,24784,20141031,2014,20141031,"MYD","09253W104",NA,676.2365,NA,12
"NA.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16098",5,5,0,1,1,1,0,1,0,0,24975,20141031,2014,20141031,"SNPS","871607107",0.478164958516349,6391.4457,3,18
"16131",0,NA,0,0,0,0,0,0,0,0,25024,20141031,2014,20141031,"FCO","003013109",NA,98.75372,NA,6
"NA.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16220",5,5,0,1,1,0,0,1,1,0,25110,20141231,2014,20141231,"ICUI","44930G107",0.397932844932845,1277.2305,3,14
"16247",3,3,1,0,1,0,0,0,1,0,25148,20140630,2014,20140630,"GETG","39303R102",-0.434939759036145,23.776346,1,3
"NA.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16340",7,7,0,1,1,1,1,1,0,1,25274,20141231,2014,20141231,"OLED","91347P105",0.352634234234234,1268.286,3,14
"16406",1,NA,0,0,0,0,0,0,0,1,25329,20141031,2014,20141031,"VMO","46132C107",NA,859.26075,NA,12
"16461",3,NA,0,0,0,0,0,1,1,0,25367,20141231,2014,20141231,"MGIC","559166103",NA,NA,NA,NA
"16556",1,NA,0,0,0,0,0,0,0,1,25524,20141031,2014,20141031,"CHN","169373107",NA,336.22208,NA,9
"16668",7,NA,1,1,1,1,1,1,0,0,25665,20141231,2014,20141231,"LTC","502175102",0.405844336344684,1531.6716,3,14
